coords,points,values
"-33.70816,18.443135;-33.70818333,18.44265;-33.7085,18.44064667;-33.70796,18.43196333;-33.70792333,18.42276;-33.70778333,18.41696667;-33.71126667,18.37476667;-33.71196667,18.36663333;-33.71454,18.354495;-33.71551667,18.35008333;-33.72416667,18.3167;-33.73505333,18.26031333;-33.73708333,18.25001667;-33.74333333,18.22695;-33.747265,18.20162667;-33.75006667,18.1834;-33.75018333,18.18255;-33.75253167,18.16972833;-33.76735,18.08813333;-33.7742,18.050425;-33.8172028269,16.756304402;-33.7593819245,16.3720214495;-31.9509915601,14.4208634248;-30.2139850258,13.6166056048;-27.7424609877,12.5735200053;-24.7888139325,11.3561176492;-19.292259009,9.76187877534;-10.4168694573,10.4757170771;-9.12006320912,10.4003674786",6,value
"-8.77595,13.36843333;-8.775033333,13.36811667;-8.774333333,13.36738333;-8.769733333,13.36111667;-8.769583333,13.36086667;-8.764666667,13.35438333;-8.724283333,13.33436667;-8.722816667,13.33355;-8.717666667,13.32713333;-8.71705,13.32636667;-8.714533333,13.32301667;-8.708533333,13.31603333;-8.7088,13.27385;-8.715333333,13.25621667;-8.716666667,13.24541667;-8.726933333,13.21535;-8.728,13.2131;-8.729816667,13.2077;-8.732466667,13.19953333;-8.736383333,13.1892;-8.7441,13.17003333;-8.742966667,13.09928333;-8.738733333,13.07391667;-8.73855,13.07281667;-8.737933333,13.06433333;-8.737716667,13.06006667;-8.73765,13.05891667;-8.7371,13.05;-8.737466667,13.04483333;-8.7392,13.0212;-8.734066667,12.99993333;-8.733351667,12.98878833;-8.77504136328,11.816146777;-8.9891928538,11.1261030854;-9.10816590409,10.8167731546;-9.12006320912,10.4003674786",6,value
"0.0854765571838,7.57951645616;-0.61408497853,7.29398113546;-1.85616362357,7.46530232788;-4.79717742678,8.89297893138;-6.75309437357,9.73530812744;-8.54899256772,10.4122647836;-9.12006320912,10.4003674786",6,value
"0.426916667,9.42075;0.427,9.420616667;0.428066667,9.411933333;0.4423,9.32355;0.462966667,9.252483333;0.460683333,9.2366;0.458733333,9.221666667;0.458788333,9.220798333;0.45885,9.220016667;0.45065,9.164;0.444768333,9.121685;0.0854765571838,7.57951645616",6,value
"1.85103662351,7.79366794669;1.36562657832,7.86981069887;0.0854765571838,7.57951645616",6,value
"3.84446973883,-1.480598585;4.11572829349,-0.614474778882;4.47209022078,-0.0191514786751;4.52975450851,0.289720403333;4.69869623992,0.414642106139",point,value
"4.69869623992,0.414642106139;4.93116958019,0.377522514448",8,value
"4.93116958019,0.377522514448;5.49510183857,2.46193035556",6,value
"5.51445478809,3.08614229275;4.19147446884,3.78570382847;3.61183776782,4.28158350208;2.59342845733,5.58552813328;2.14608978823,6.99416904873;1.85103662351,7.79366794669",point,value
"5.49510183857,2.46193035556;5.51445478809,3.08614229275",5,value
"4.0645,9.684116667;4.0643,9.684083333;4.06425,9.684066667;4.060433333,9.679083333;4.059283333,9.677483333;4.057733333,9.675316667;4.056833333,9.673833333;4.013966667,9.633383333;4.011466667,9.631633333;4.009416667,9.630183333;4.007366667,9.628233333;4.006633333,9.62735;4.005566667,9.625716667;4.004816667,9.624516667;4.004016667,9.623083333;4.003133333,9.621966667;3.992,9.610483333;3.91,9.528416667;3.876616667,9.481016667;3.831716667,9.4268;3.699433333,9.358066667;3.694333333,9.3553;3.690616667,9.353416667;3.690266667,9.353183333;3.68455,9.350333333;3.678931667,9.3474;3.17401694275,9.15471964202;2.67908905354,8.94532707351;2.41258942089,8.56461331258;1.85103662351,7.79366794669",point,value
"5.24447,-3.934273333;5.244206667,-3.934326667;5.244136667,-3.93435;5.241821667,-3.934085;5.236266667,-3.933966667;5.23572,-3.934136667;5.235591667,-3.93417;5.227733333,-3.932716667;5.226531667,-3.932588333;5.224053333,-3.93192;5.221568333,-3.931431667;5.219983333,-3.93125;5.179416667,-3.928116667;5.118533333,-3.919816667;5.098033333,-3.917066667;5.052,-3.913966667;5.048833333,-3.9137;5.039963333,-3.910643333;5.02862,-3.906973333;4.4060225362,-3.68873839842;3.6303182483,-2.37051700119;3.84446973883,-1.480598585",5,value
"5.244605,-3.935106667;5.24438,-3.935141667;5.244336667,-3.93525;5.242026667,-3.935475;5.2365,-3.9358;5.228816667,-3.935483333;5.224133333,-3.935483333;5.223066667,-3.93565;5.191283333,-3.940483333;5.135595,-3.938021667;5.135033333,-3.9381;5.113226667,-3.937486667;5.107073333,-3.939781667;5.096433333,-3.944083333;5.095461667,-3.94437;5.083233333,-3.949066667;5.07636,-3.951018333;5.070733333,-3.95235;5.063716667,-3.953016667;5.063223333,-3.953075;5.046516667,-3.954033333;5.044858333,-3.954056667;5.0288067968,-3.95730023061;4.60526273776,-4.02035594726;4.34891547206,-3.88385420089",point,value
"5.541533333,-0.2042;5.533766667,-0.199516667;5.5202,-0.189566667;5.512733333,-0.18425;5.507948333,-0.18252;5.505615,-0.181726667;5.505506667,-0.18169;5.5055,-0.181683333;5.495983333,-0.17844;5.494841667,-0.177898333;5.461641667,-0.157588333;5.452508333,-0.154311667;5.44802,-0.15211;5.433415,-0.144856667;5.43142,-0.142998333;5.421178333,-0.133336667;5.418655,-0.131745;5.402848333,-0.122218333;5.360583333,-0.0963133329999;4.86763797133,0.185024119077;4.24421918781,0.0374975367151;3.90633572498,-0.481224962556;3.45899705588,-2.20871365279;3.63983609233,-2.92255195454;4.34891547206,-3.88385420089",point,value
"5.541533333,-0.2042;5.534183333,-0.198916667;5.5215,-0.183483333;5.510433333,-0.171483333;5.501066667,-0.161266667;5.494166667,-0.153733333;5.48635,-0.145216667;5.480166667,-0.1334;5.440633333,-0.0902333329999;5.429366667,-0.083316667;5.38338,-0.0334;4.93116958019,0.377522514448",8,value
"5.541533333,-0.2042;5.541633333,-0.204316667;5.541716667,-0.204416667;5.541633333,-0.2043;5.541533333,-0.2042",2,value
"6.34855,2.388533333;6.348565,2.388628333;6.346505,2.389016667;6.34626,2.389248333;6.341226667,2.393115;6.3345,2.395333333;6.3329,2.399883333;6.3199,2.412;6.31665,2.415016667;6.30835,2.422333333;6.299983333,2.430416667;6.268633333,2.459616667;6.263783333,2.46415;6.25,2.472333333;6.22685,2.478733333;6.183316667,2.4833;6.169916667,2.487333333;6.167566667,2.487866667;6.166633333,2.488083333;6.151156667,2.489605;5.49510183857,2.46193035556",6,value
"6.422366667,3.428333333;6.422316667,3.428333333;6.41365,3.428416667;6.410581667,3.429161667;6.402065,3.431656667;6.392248333,3.43453;6.365716667,3.4423;6.364933333,3.44215;6.356216667,3.440816667;6.35575,3.440766667;6.200383333,3.414466667;6.190621667,3.412788333;5.91896315908,3.18132073298;5.51445478809,3.08614229275",5,value
"14.3039457975,-18.5588626929;12.3194753187,-18.6302465231;10.5491563303,-18.601692991;9.16431002493,-18.0591758817;7.95078491196,-17.1740163875;7.23694661021,-16.0033215726;6.45172447828,-14.6184752672;3.89618335802,-10.0641869021;3.38221978076,-8.39380527598;4.34891547206,-3.88385420089",point,value
"14.67261333,-17.448545;14.67229167,-17.448705;14.67191167,-17.44877833;14.663845,-17.45078167;14.66112333,-17.45181833;14.65973333,-17.45165;14.65732333,-17.45166167;14.65715,-17.45166667;14.63773333,-17.45146667;14.63266667,-17.45116667;14.6296,-17.45103333;14.62848,-17.45101667;14.62315,-17.45093333;14.621955,-17.45095833;14.61666667,-17.45106667;14.61016667,-17.45416667;14.60459667,-17.45705833;14.60133333,-17.45883333;14.60105,-17.4592;14.5875,-17.47616667;14.58503333,-17.47951667;14.57593333,-17.49328333;14.56386667,-17.50875;14.54848333,-17.53283333;14.54466667,-17.53716667;14.53363333,-17.54846667;14.5264,-17.55788333;14.5205,-17.566;14.51906667,-17.56805;14.3039457975,-18.5588626929",point,value
"28.1309,-15.44536667;28.13105,-15.44553333;28.13140833,-15.44569333;28.13218833,-15.44604333;28.13500667,-15.44730833;28.13840667,-15.44880333;28.13963333,-15.44956667;28.1399,-15.449845;28.14086167,-15.45066667;28.14368333,-15.453075;28.14625,-15.45526667;28.15610833,-15.463685;28.156215,-15.46377667;28.15762667,-15.46498167;28.15953667,-15.46496833;28.16261167,-15.46494833;28.16601,-15.46478833;28.17219833,-15.46444167;28.18038833,-15.46092833;28.18168833,-15.460455;28.18423667,-15.460075;28.18574667,-15.46012167;28.19260667,-15.46117;28.19446333,-15.46218667;28.21909667,-15.47404;28.22278333,-15.47499833;28.23552,-15.47729833;28.24026667,-15.47718167;28.24638167,-15.47561;28.25372,-15.47272333;28.26122667,-15.46885833;28.266905,-15.46463;28.26783833,-15.46393;28.32745833,-15.41923667;28.34490333,-15.40522;28.35127,-15.39956167;28.35431667,-15.39451833;28.35437,-15.38670667;28.35136333,-15.37328333;28.2716793344,-15.1565308872",2,value
"28.2716793344,-15.1565308872;27.7957871332,-15.097044362;27.284203017,-15.2992985475;26.2610347844,-16.3284154325;25.5019769929,-16.8082565892;23.2412013354,-17.8593011572;20.9997490679,-18.7301838853;16.9879778121,-18.6588000551;15.4603638464,-18.5017556287;14.3039457975,-18.5588626929",point,value
"36.1572131077,-9.26617516724;33.7896494069,-12.5403135113;32.1716159229,-13.7538386242;29.3162627159,-15.0863367875;28.8879597349,-15.1815152277;28.3513633333,-15.3732833333",3,value
"36.67326667,-6.4105;36.67321667,-6.4108;36.6728,-6.421666667;36.67121667,-6.466068333;36.67089667,-6.474353333;36.66084667,-6.710035;36.65766833,-6.784576667;36.65192667,-6.805171667;36.64336667,-6.831133333;36.63615,-6.85285;36.61918333,-6.903416667;36.61631667,-6.912193333;36.60192167,-6.95437;36.2648837182,-7.94587174163;36.2172944981,-8.94524536408;36.1572131077,-9.26617516724",4,value
"38.4356532441,-9.11282662206;37.8591225921,-9.84944054629;37.2047708155,-10.1706677821;36.3600621584,-9.65908366583;36.1572131077,-9.26617516724",4,value
"-33.70816,18.443135;-33.72503333,18.35213333;-33.73323333,18.33298333;-33.75126667,18.24055;-33.7626,18.226;-33.77556667,18.18275;-33.76975,18.10391667;-33.7745,18.07098333;-33.78683333,18.03485;-33.7994,18.00531667;-33.80333333,18.0;-33.81128333,17.99405;-33.8187,17.99136667;-33.829,17.99095;-33.8426,17.98596667;-33.84953333,17.98083333;-33.86298333,17.9636;-33.87668333,17.9329;-33.88361667,17.75531667;-33.91016667,17.7281;-33.91508333,17.70283333;-33.92295,17.68303333;-33.92508333,17.67116667;-33.92716667,17.6338;-33.96566667,17.4855;-33.98291667,17.4405;-33.98825,17.40468333;-34.2357155561,17.4190641852;-34.5355276428,17.5570729235;-34.996736781,17.9883537698;-35.4955907118,18.9531614082;-35.7874951384,20.1112185028;-35.8760190178,22.6182001244;-35.0139030097,26.4515390561;-33.5194461553,30.2100952046;-31.069884116,35.0037453473;-29.0372637964,40.5591333931;-27.1161035311,44.7487086963;-25.5603798853,48.4029923542;-23.860189709,52.0140157374;-22.6366412778,52.4128749341",1,value
"-28.96246667,31.76831667;-28.96343333,31.76863333;-28.97356667,31.77135;-28.986,31.77643333;-29.0,31.78791667;-29.01666667,31.79651667;-29.02703333,31.79966667;-29.06751667,31.80051667;-29.08333333,31.80563333;-29.11666667,31.8222;-29.24991667,31.86551667;-29.27265,31.86915;-29.29961667,31.87796667;-29.34198333,31.89931667;-29.4,31.90975;-29.4418,31.91338333;-29.4663,31.9173;-29.4806,31.92078333;-29.49561667,31.92578333;-29.5273,31.94216667;-29.53693333,31.94891667;-29.56966667,31.97993333;-29.57963333,31.9954;-29.58646667,32.0085;-29.59585,32.02451667;-29.60373333,32.04028333;-29.6127,32.05473333;-29.61546667,32.0613;-29.62598333,32.07595;-29.62958333,32.08135;-31.9245457695,33.2529523094",4,value
"-22.6366412778,52.4128749341;-22.6080877457,53.0029812636;-22.4272487093,54.2165063765;-21.9656332741,55.3205762832;-21.4469107749,56.5103067862;-20.9234293536,57.1527612577;-20.64033333,57.3;-20.63685,57.3122;-20.63648333,57.3135;-20.61088333,57.40313333;-20.58383333,57.42878333;-20.58275,57.43058333;-20.55646667,57.4372;-20.55,57.43883333;-20.53166667,57.44166667;-20.5227,57.44293333;-20.52125,57.44278333;-20.51586667,57.44808333;-20.50981667,57.44721667;-20.50923333,57.44713333;-20.50838333,57.44695;-20.50793333,57.44693333;-20.50748333,57.44693333;-20.50655,57.44711667;-20.50543333,57.44728333;-20.50465,57.44751667;-20.50416667,57.44746667;-20.50368333,57.44736667;-20.50295,57.44683333;-20.50266667,57.4467;-20.50111667,57.44613333;-20.50105,57.44608333",3,value
"-22.6366412778,52.4128749341;-20.3824344301,53.2840193139;-20.2396667698,54.5451336469;-20.36453333,54.99896667;-20.37616667,55.027;-20.38666667,55.025;-20.3947,55.02055;-20.47885,55.03716667;-20.547,55.04766667;-20.55518333,55.05055;-20.7665,55.13961667;-20.77426667,55.14343333;-20.81233333,55.15933333;-20.82811667,55.17036667;-20.851,55.18733333;-20.85776667,55.19086667;-20.90883333,55.2191;-20.95066667,55.23358333;-20.95833333,55.24163333;-20.98166667,55.25205;-20.98433333,55.2558;-20.99193333,55.26666667;-20.99425,55.27176667;-20.99811667,55.27753333;-20.99826667,55.27781667;-20.99846667,55.27808333;-20.99868333,55.27825",5,value
"-20.99563333,55.2796;-20.99545,55.27945;-20.99525,55.27921667;-20.9951,55.27896667;-20.98813333,55.26953333;-20.98,55.2573;-20.97875,55.2554;-20.96666667,55.25;-20.92843333,55.24421667;-20.90416667,55.23776667;-20.89916667,55.23996667;-20.89636667,55.23678333;-20.89496667,55.24133333;-20.85,55.25416667;-20.84243333,55.25541667;-20.8328,55.25698333;-20.76666667,55.26783333;-20.2967738339,55.6111321776;-20.1016580314,55.6444446316;-17.2098883116,57.8969746659",point,value
"-20.50116667,57.44756667;-20.50123333,57.44755;-20.50188333,57.44685;-20.5028,57.44703333;-20.50366667,57.44746667;-20.50463333,57.44763333;-20.50518333,57.44765;-20.50781667,57.44781667;-20.50938333,57.44816667;-20.5158,57.44958333;-20.51583333,57.44958333;-20.5197,57.44756667;-20.53181667,57.4471;-20.53333333,57.44705;-20.55485,57.44358333;-20.58306667,57.43903333;-20.58851667,57.43815;-20.61833333,57.43333333;-20.68735,57.42633333;-20.82333333,57.4125;-20.82615,57.40616667;-20.82668333,57.40491667;-20.8853579775,57.4287787344;-20.9424650416,57.4478144224;-21.0233667158,57.5763053168;-21.0424024039,57.7856978853;-20.8948758215,58.1426170361;-20.5049471488,58.5740415503;-18.9853081417,59.0555113347;-17.2098883116,57.8969746659",point,value
"-17.2098883116,57.8969746659;-14.1416329492,66.7620927974;-12.8933779525,68.901958506;-11.0031632433,71.2558107854;-8.32478665401,73.0594094546;-6.02899655573,74.0408794281;-2.30338493123,75.1383482715;-0.282034828021,76.0938781385;1.20897627526,77.3257092149;2.74074320455,79.3271741028",8,value
"2.74074320455,79.3271741028;2.73728446686,79.3322702926",6,value
"2.74074320455,79.3271741028;3.89111624605,81.5336358809;4.85133680537,84.0602269738;5.56633425093,86.6223407525;5.99282980714,89.1590133464;6.32211417752,92.824263753;6.30844443909,95.1937694068;6.16575891442,96.3627074365;6.04065,97.28843333;6.0041,97.4135;5.979633333,97.5514;5.965766667,97.6002;5.960416667,97.63405;5.953533333,97.64828333;5.948383333,97.6693;5.944466667,97.705;5.938016667,97.73083333;5.92555,97.78695;5.920233333,97.81596667;5.91425,97.82426667;5.9168,97.84103333;5.91415,97.84978333;5.903666667,97.86248333;5.9011,97.87183333;5.902583333,97.88166667;5.898116667,97.90175;5.894766667,97.91785;5.887283333,97.93835;5.882666667,97.99;5.875033333,98.01116667;5.87045,98.06353333;5.865533333,98.08533333;5.862483333,98.10935;5.85785,98.14531667;5.854083333,98.17026667;5.850183333,98.20223333;5.846933333,98.22573333;5.844133333,98.24718333;5.840816667,98.27098333;5.838183333,98.29266667;5.83335,98.32775;5.82985,98.35658333;5.829716667,98.37195;5.82665,98.39526667;5.815366667,98.44115;5.8112,98.4906;5.788066667,98.67035;5.779066667,98.71635;5.77795,98.74395;5.76815,98.80828333;5.754816667,98.9154;5.748116667,98.94543333;5.741933333,99.00623333;5.73195,99.07813333;5.724266667,99.09876667;5.72635,99.12003333;5.7167,99.19096667;5.720233333,99.24743333;5.721,99.28988333;5.724616667,99.34751667;5.732433333,99.41305;5.73225,99.48135;5.736716667,99.55215;5.7379,99.59098333;5.742383333,99.64588333;5.740916667,99.67915;5.746216667,99.72086667;5.74745,99.748;5.746333333,99.77468333;5.72555,99.84666667;5.696183333,99.93741667;5.673816667,100.0081333;5.651483333,100.0880333;5.645816667,100.1066333;5.62435,100.1568667;5.620666667,100.1654667;5.619166667,100.1691667;5.59955,100.2343167;5.598333333,100.2383333;5.592933333,100.2685333;5.576683333,100.2919;5.556866667,100.3247;5.560933333,100.3459;5.561716667,100.3529;5.56165,100.3581333",3,value
"10.1405,76.17866667;10.1405,76.17865;10.14038333,76.17831667;10.13966667,76.17606667;10.13331667,76.15606667;10.13093333,76.14165;10.12605,76.125;10.09666667,76.0;10.08441667,75.94518333;10.08375,75.9422;10.07278333,75.89295;10.06618333,75.85555;10.05511667,75.81655;10.04766667,75.7935;10.04141667,75.76665;10.04193333,75.73418333;10.03315,75.68663333;10.03228333,75.68178333;10.03198333,75.66251667;10.032,75.65635;10.03193333,75.65476667;10.03191667,75.6546;10.03196667,75.64835;10.0421,75.61;10.04245,75.59961667;10.04386667,75.55843333;10.05311667,75.52301667;10.0001557243,75.2084963029;8.93171905403,74.5492937595;7.54687274863,74.8491058462;6.76328723369,75.3036040491;5.83185344155,75.8448487658;4.84866001532,76.6975263855;2.74074320455,79.3271741028",8,value
"-28.96246667,31.76831667;-29.1887149361,32.5667480625;-28.2892786759,33.3091398963;-26.5760667517,34.6654326696",6,value
"-26.5760667517,34.6654326696;-26.1334870046,34.1371923263;-25.7765678537,33.4233540246;-25.9746178293,32.5949342847",7,value
"-26.5760667517,34.6654326696;-25.2483275104,37.6207232389;-25.3197113406,38.2060706463;-23.4066246919,42.3891630946",6,value
"-23.4066246919,42.3891630946;-23.4092630929,43.6980206784",4,value
"-23.4066246919,42.3891630946;-19.2949160738,42.6889751813;-17.310445595,42.3748863285;-14.3123247276,42.5319307549;-12.8960647029,42.005706933;-12.1993633545,41.8323692192",2,value
"-12.1993633545,41.8323692192;-6.62587252513,40.6578038144",4,value
"-11.75,43.2;-12.0708724601,42.8317428417;-12.1993633545,41.8323692192",2,value
"-6.62587252513,40.6578038144;-6.80161762358,39.2967243354",4,value
"-6.62587252513,40.6578038144;-4.62712528023,41.1432138596",6,value
"-4.62712528023,41.1432138596;-4.05971467174,39.689281069",point,value
"-4.62712528023,41.1432138596;-4.05605463883,43.3703893611;-3.38028771317,44.9027622488;-0.153738589269,49.0144708669;1.03599191365,49.452291692",2,value
"1.03599191365,49.452291692;1.62609824309,50.3564868742;7.76510763813,54.8013200331;9.17374855359,55.2391408582;10.0303545157,55.7150330593;11.2771920827,55.9053899398;12.2956013932,56.4288713611;13.3711177679,56.3146572328;13.9517062533,55.6198546191;14.3800092343,54.6680702168;14.5322947387,53.0976259529;14.2657951061,51.8603062299;13.9041170332,51.0227359558;13.2188322635,49.7473448567;12.7714935944,47.9675080243;12.1816343165,45.5039092544;12.1718694209,45.4631253157;11.8949596464,44.2209475265;12.0466502855,43.730183694",4,value
"2.03333333333,45.3592009603;1.03599191365,49.452291692",2,value
"12.0466502855,43.730183694;11.5732464678,43.1620512263",3,value
"12.0466502855,43.730183694;12.6206952532,43.2929577342;13.0269386478,43.1655574262;14.1928745407,42.3922325993;14.752047877,42.0115188383;15.3350158235,41.8092646528;17.0601250527,40.0960527286;19.4157914485,38.3233542793;19.5724211276,37.2443547929",point,value
"-24.3468205305,9.42481053058;-26.2743040444,9.9972720143;-27.7339005046,10.6063679381;-28.9083483835,11.309437071;-31.4624516961,13.6992350793;-33.5443788667,16.2679190543;-33.4683521415,17.5393891959;-33.3399633333,18.161",1,value
"-22.674,14.5236666667;-24.3468205305,9.42481053058",8,value
"-11.2104588885,6.9077557628;-12.5052934298,7.02052419537;-15.667787579,7.1677269134;-20.5747877391,8.30451898314;-24.3468205305,9.42481053058",8,value
"-9.559111,13.205;-9.564,13.1975;-11.2104588885,6.9077557628",8,value
"-7.03126771772,6.54378583249;-11.2104588885,6.9077557628",8,value
"-5.9737838371,12.4023481421;-7.03126771772,6.54378583249",point,value
"-5.27697962591,6.35643467705;-7.03126771772,6.54378583249",point,value
"-4.63,11.8253516667;-5.27697962591,6.35643467705",5,value
"1.21462135504,4.50776383921;-0.185143765333,5.24582181178;-2.32296685827,5.95842950942;-4.40988940138,6.26383280841;-5.27697962591,6.35643467705",5,value
"1.33858976218,-4.64709256621;1.55967809574,-1.09686763258",8,value
"1.55967809574,-1.09686763258;1.67835890999,0.808902695006",6,value
"1.67835890999,0.808902695006;1.79740811633,2.7205886437",7,value
"1.79740811633,2.7205886437;1.84808130095,3.53429600033;1.21462135504,4.50776383921",1,value
"4.03,9.094;1.21462135504,4.50776383921",1,value
"5.248,-3.95227777778;1.33858976218,-4.64709256621",1,value
"5.552,-0.169083333333;1.55967809574,-1.09686763258",8,value
"6.181,1.39130833333;1.67835890999,0.808902695006",6,value
"6.426,3.64021666667;2.96643067198,3.66023109502;1.79740811633,2.7205886437",7,value
"14.904,-23.5176666667;13.320287226,-25.1821053912",2,value
"15.721925273,-25.7542493568;14.946994017,-25.6796150524;13.320287226,-25.1821053912;11.4824333478,-24.3465549977;8.91840670663,-22.8977729919;6.86058328934,-21.5203994698;5.40039565927,-20.3261237591;4.22088903572,-19.1146895008;3.33495029832,-17.9119845664;2.61478624822,-16.5386713869;1.71591585436,-13.8481721287;1.18395039367,-10.7545345723;1.29180215173,-5.39840557547;1.33858976218,-4.64709256621",1,value
"27.983,-15.3788366667;27.578980451,-15.3183498875;27.2220613002,-16.2284937222;28.3893887531,-23.1497090086",6,value
"28.3893887531,-23.1497090086;27.4570124614,-23.5257873061;23.6951175995,-24.7040643017;19.3235144247,-25.6109520453;16.8977641095,-25.8674954196;15.721925273,-25.7542493568",8,value
"38.572,-9.19524833333;38.4312155056,-18.2268967635",5,value
"51.28145,-3.01511666667;51.3054707927,-3.68353435977;51.2570219311,-5.07886157503;50.6271867298,-6.25616891289;48.5336260621,-9.47154148847;47.4432015008,-11.1126404898;46.114409318,-12.6280339046;44.437457637,-14.1473138903;42.3627787677,-15.7091665552;37.8157811641,-18.6250935024;35.0375054097,-20.1994580552;31.5187443458,-21.8874689303;28.3893887531,-23.1497090086",6,value
"2.06025528883,-2.99525544273;2.13466594005,-2.25092005638",8,value
"2.13466594005,-2.25092005638;2.4127176896,0.530452677788",8,value
"2.4127176896,0.530452677788;2.4924979443,1.32850061492;2.85977497718,2.0283671245",5,value
"2.85977497718,2.0283671245;3.75006148743,2.73691702699;4.61698082763,2.98460826705;6.422366667,3.428333333",3,value
"5.244605,-3.935106667;2.06025528883,-2.99525544273",3,value
"5.541716667,-0.204416667;2.13466594005,-2.25092005638",8,value
"6.181,1.39130833333;2.4127176896,0.530452677788",8,value
"6.34855,2.388533333;2.85977497718,2.0283671245",5,value
"8.18635425356,-18.6620254489;7.00746801482,-18.0833729525;5.59966468649,-17.2323600398;4.33128014655,-16.0408999621;3.21764748781,-14.4860092643;2.63240151252,-13.2887927835;2.31882181261,-12.2113873606;2.02396960326,-8.43808333139;2.06025528883,-2.99525544273",3,value
"9.550083196,-13.6517919358;8.18635425356,-18.6620254489",point,value
"11.0601449137,-19.0152875146;8.18635425356,-18.6620254489",point,value
"11.85,-15.566667;11.0601449137,-19.0152875146",6,value
"12.6764497128,-18.9915183264;11.0601449137,-19.0152875146",6,value
"13.5514557339,-16.5549949164;12.6764497128,-18.9915183264",4,value
"14.30090657,-19.1650040101;14.3006775746,-19.1658257067",7,value
"14.30090657,-19.1650040101;12.6764497128,-18.9915183264",4,value
"14.67261333,-17.448545;14.30090657,-19.1650040101",1,value
"14.904,-23.5176666667;15.2435220408,-19.7838246004",4,value
"15.2435220408,-19.7838246004;14.3086006374,-19.1658257067;14.30090657,-19.1650040101",1,value
"16.1784434442,-20.4018234942;15.2435220408,-19.7838246004",4,value
"18.0706175471,-16.0360217264;16.1784434442,-20.4018234942",2,value
"33.2085061368,-19.9433429011;32.3638619543,-20.3686019425;28.0996354238,-22.2307153307;26.7297740755,-22.6748544259;25.4925356137,-22.8769332485;21.6692151196,-22.7692188583;18.917583077,-22.4177177198;16.1784434442,-20.4018234942",2,value
"33.6203552649,-7.61997553337;33.2085061368,-19.9433429011",1,value
"37.4892488206,-17.6374940827;35.4910652024,-18.7941265796;33.2085061368,-19.9433429011",1,value
"38.7114703969,-9.47869605348;37.4892488206,-17.6374940827",7,value
"42.2683682189,-8.85637538034;42.3073285296,-14.2273160988",8,value
"42.3073285296,-14.2273160988;41.2583895625,-15.1665252291;38.6132124144,-16.9868968072;37.4892488206,-17.6374940827",7,value
